Akt,Erk,Jnk,Mek,P38,PIP2,PIP3,PKA,PKC,Plcg,Raf
68.5,24.4,16.3,47.8,13.9,5.94,17.2,649.0,18.6,38.5,17.8
79.9,44.1,4.45,89.8,28.1,39.2,82.8,632.0,20.4,51.4,35.9
85.1,34.9,1.0,325.0,23.5,44.1,86.6,799.0,23.9,41.8,16.7
38.5,17.3,25.7,26.4,10.9,29.4,42.6,322.0,23.3,37.5,19.3
64.4,50.9,12.7,12.4,3.11,22.5,30.0,573.0,25.0,54.7,20.9
97.3,22.7,17.5,101.0,31.3,19.6,25.3,352.0,13.9,36.2,9.82
76.4,30.8,8.51,141.0,12.1,19.3,34.0,297.0,6.15,29.4,118.0
108.0,30.8,21.5,41.0,30.8,6.61,27.4,1094.0,11.5,30.2,67.3
53.3,34.6,18.3,41.0,56.2,3.79,30.8,965.0,3.43,16.4,70.4
27.9,19.3,24.4,106.0,23.7,14.7,21.3,519.0,14.9,36.2,16.5
69.8,26.2,21.9,20.4,17.0,18.9,45.3,533.0,2.41,9.47,74.3
7.23,5.88,17.8,119.0,14.1,8.82,23.7,445.0,3.0,18.1,66.7
49.1,18.8,14.9,29.4,15.0,17.6,28.1,470.0,1.88,21.9,59.4
16.5,22.9,9.22,10.9,46.1,3.59,13.6,874.0,12.5,28.1,2.89
101.0,61.0,17.9,13.0,27.9,7.99,11.1,215.0,5.14,11.4,58.8
59.9,21.9,11.5,17.2,13.3,8.82,24.8,965.0,9.22,44.9,3.85
102.0,46.1,11.3,104.0,13.3,36.8,65.5,914.0,13.7,33.4,11.0
54.7,20.4,15.5,35.2,32.5,11.7,18.1,599.0,1.63,17.5,67.9
50.5,19.5,4.78,13.6,24.8,11.7,28.9,509.0,18.3,39.6,23.3
48.7,19.5,32.8,43.7,44.9,8.58,24.4,466.0,1.6,20.4,64.9
70.4,25.3,12.3,145.0,21.1,4.53,24.6,255.0,4.83,18.8,51.9
45.7,19.1,6.32,94.7,17.2,8.43,16.0,244.0,3.08,23.5,93.9
29.4,26.4,15.1,21.5,8.13,15.4,71.7,610.0,2.07,22.1,57.3
63.8,21.1,7.64,38.2,50.0,4.41,13.9,461.0,20.5,31.3,13.2
64.4,29.7,13.7,33.4,8.58,7.7,23.1,1252.0,12.6,25.3,1.11
57.8,15.3,19.5,71.0,31.6,14.3,17.9,505.0,18.9,38.9,33.1
75.0,23.7,13.5,178.0,31.6,21.5,33.1,255.0,28.1,43.7,12.5
48.7,25.0,52.3,109.0,16.3,6.85,17.8,445.0,3.85,16.0,63.8
61.0,53.3,27.4,32.5,3.72,9.56,25.7,1346.0,1.42,19.6,79.9
96.5,46.1,16.1,15.5,31.6,3.85,22.3,5.57,6.15,32.5,73.0
54.7,26.2,12.5,93.9,14.9,11.5,18.6,474.0,16.4,24.1,7.3
96.5,56.2,29.7,39.2,16.1,12.2,37.9,1000.0,17.3,47.0,23.1
89.0,52.8,24.4,18.9,3.85,23.1,42.9,710.0,21.1,37.9,18.6
96.5,46.1,20.9,51.4,14.5,53.3,118.0,882.0,3.34,12.9,30.5
62.6,34.9,18.1,133.0,30.0,21.5,24.1,403.0,9.56,21.3,13.6
18.3,20.0,47.4,75.7,63.2,13.3,19.3,400.0,19.3,31.9,29.4
85.1,41.0,14.9,32.2,27.4,38.5,47.0,777.0,6.38,23.1,56.2
79.9,25.0,36.5,26.2,42.6,4.91,9.91,385.0,5.42,25.9,98.2
42.2,20.2,8.2,26.9,23.9,19.1,40.3,422.0,22.9,32.5,24.4
61.0,19.1,10.2,68.5,28.6,10.9,6.55,267.0,20.5,43.7,21.9
17.5,10.9,6.1,155.0,21.3,17.2,26.4,389.0,17.3,47.0,23.7
14.6,14.9,21.7,167.0,31.3,19.1,32.8,286.0,5.19,15.5,108.0
17.3,24.4,25.7,26.9,8.58,21.5,36.2,284.0,17.0,35.2,14.9
57.3,27.6,14.5,173.0,37.2,5.57,12.4,604.0,15.8,37.2,18.8
24.4,15.5,15.0,114.0,15.8,16.7,30.0,1000.0,13.6,20.5,17.3
69.8,40.7,14.6,135.0,27.9,29.2,42.9,385.0,14.3,24.1,9.06
101.0,35.5,16.5,88.2,16.8,49.6,72.3,730.0,17.2,32.5,17.9
41.4,17.2,22.1,21.1,12.7,23.9,34.3,379.0,1.0,13.2,8.66
82.0,66.1,11.4,17.2,32.8,5.28,12.3,158.0,25.7,63.2,31.9
86.6,38.2,18.8,10.3,2.48,19.5,31.3,382.0,18.8,30.5,3.49
14.1,7.23,20.7,155.0,13.5,17.3,86.6,195.0,20.5,38.2,15.8
89.8,52.3,2.81,14.5,49.1,38.2,83.5,750.0,25.5,41.0,15.0
97.3,41.4,27.6,178.0,48.3,11.3,27.1,528.0,3.82,14.6,68.5
26.9,13.7,11.0,34.9,35.5,17.5,39.2,505.0,13.9,30.2,10.2
89.0,21.3,13.7,20.7,15.5,3.31,13.7,407.0,1.78,1.53,55.2
66.1,23.9,17.6,12.6,20.0,21.7,35.9,269.0,24.4,36.5,11.3
39.2,19.3,37.5,85.8,46.1,7.23,12.1,599.0,21.9,47.0,17.8
25.0,18.6,4.03,12.0,36.2,29.7,41.0,346.0,5.78,11.9,26.4
45.7,19.3,7.17,98.2,29.7,5.33,22.9,365.0,23.3,40.0,21.1
62.1,20.5,25.0,57.3,12.1,14.9,21.5,422.0,1.0,89.0,1.57
50.0,31.6,6.67,11.3,14.9,14.7,113.0,181.0,17.5,28.6,9.22
102.0,31.6,4.41,12.9,21.7,8.58,18.3,523.0,10.1,33.4,104.0
63.2,24.6,11.2,16.5,3.11,6.44,17.5,542.0,3.49,9.82,4.53
38.9,24.1,18.9,36.8,17.5,42.6,80.6,1075.0,11.8,35.9,11.3
98.2,44.1,6.04,23.1,16.1,12.0,22.7,547.0,22.9,50.5,15.4
38.9,24.6,8.66,6.49,26.2,22.7,26.7,219.0,10.7,39.6,71.7
87.4,29.4,22.5,22.7,13.9,26.2,47.8,311.0,10.8,13.8,9.65
75.7,21.5,1.0,71.7,2.27,6.26,15.5,418.0,14.7,28.9,12.7
79.9,18.9,15.7,80.6,23.7,7.77,15.1,396.0,20.0,32.8,18.6
52.8,19.5,19.3,54.7,47.4,43.7,57.3,661.0,11.2,38.9,98.2
107.0,44.9,7.99,17.6,45.7,7.84,21.1,500.0,4.53,12.4,69.8
59.4,18.4,17.0,76.4,16.3,31.1,59.4,667.0,18.4,51.9,18.4
71.0,40.7,11.7,16.8,14.5,7.99,16.7,655.0,24.8,43.3,14.3
21.5,13.1,23.7,24.4,17.0,4.29,11.1,392.0,12.3,27.9,29.2
25.9,12.3,17.8,112.0,18.1,17.9,36.5,346.0,5.0,21.1,57.3
64.4,48.3,12.3,30.0,35.2,13.3,34.9,349.0,13.7,31.1,16.1
36.2,11.3,15.5,16.4,37.9,15.3,22.9,414.0,4.14,10.4,68.5
51.9,26.7,12.9,44.5,4.49,30.2,50.0,302.0,17.9,22.3,10.3
21.7,7.57,9.65,308.0,38.2,11.8,29.4,355.0,8.13,17.2,89.8
93.9,35.9,17.6,14.3,13.0,23.5,40.0,300.0,13.2,24.6,13.0
56.7,20.5,13.6,88.2,30.0,24.4,32.5,414.0,25.3,41.4,16.4
66.1,16.1,11.0,75.0,14.3,13.2,29.2,466.0,24.8,49.6,29.2
27.6,17.0,11.2,99.1,50.0,29.7,50.5,1346.0,25.3,52.8,13.2
49.1,33.4,21.7,19.8,10.1,25.3,39.2,400.0,25.7,33.7,20.9
157.0,51.9,12.3,21.7,45.3,5.99,45.3,49.1,7.77,10.3,41.0
37.9,16.4,34.6,39.2,6.85,2.53,13.9,239.0,4.07,58.8,89.0
45.3,25.5,22.1,15.1,13.3,12.3,22.9,474.0,2.05,23.5,106.0
163.0,86.6,33.1,53.8,15.4,40.3,53.3,316.0,18.9,38.5,13.2
62.6,33.7,8.58,37.2,44.9,5.0,4.29,400.0,24.6,45.3,28.6
26.4,15.3,43.7,43.7,13.3,6.04,21.9,1037.0,30.8,61.0,14.2
95.6,38.2,5.0,281.0,64.4,26.4,45.3,496.0,26.2,48.7,10.4
79.9,29.4,5.05,117.0,17.3,30.0,71.0,828.0,8.82,22.1,12.6
17.3,14.6,15.1,121.0,30.8,10.4,14.7,717.0,16.0,26.4,8.35
51.4,37.9,42.6,73.7,36.2,15.5,35.5,1219.0,1.98,17.6,77.0
38.5,7.3,3.13,17.0,17.5,29.4,41.8,470.0,27.4,42.9,16.0
52.8,53.3,3.65,13.6,42.6,36.8,62.6,1000.0,12.4,23.5,23.7
91.4,40.3,17.0,38.2,1.49,10.5,27.1,1009.0,29.7,50.0,33.4
37.9,14.2,13.3,32.8,12.1,17.9,42.9,487.0,2.11,24.8,66.7
44.5,24.8,15.5,178.0,45.3,21.1,57.3,982.0,1.0,58.3,8.43
70.4,30.0,20.4,17.3,13.7,19.1,36.8,349.0,17.0,53.3,22.3
47.4,30.5,19.8,21.7,31.6,33.1,87.4,400.0,3.89,36.8,96.5
63.8,21.7,22.7,184.0,36.2,20.5,26.2,359.0,3.96,19.8,80.6
23.5,42.9,12.1,29.2,27.4,1.5,8.51,154.0,20.7,36.2,13.5
14.5,15.4,1.0,117.0,3.49,16.0,29.4,457.0,20.4,48.3,16.0
36.8,9.47,12.2,12.6,15.8,20.0,30.0,271.0,12.1,26.2,85.8
97.3,25.3,17.6,12.9,17.3,6.98,9.22,352.0,12.6,23.3,20.9
44.5,31.3,33.1,184.0,58.8,32.5,43.3,286.0,1.0,59.4,3.68
67.9,53.3,17.5,97.3,37.5,22.1,36.8,331.0,5.42,15.1,94.7
25.9,17.2,21.5,24.1,36.8,15.3,32.2,313.0,9.91,18.8,9.22
40.0,32.8,11.3,98.2,19.5,40.0,75.7,365.0,19.3,33.7,14.7
60.4,24.8,17.0,337.0,60.4,12.7,25.0,496.0,9.91,20.5,9.56
31.1,18.8,6.15,191.0,13.0,10.6,21.9,466.0,13.7,26.7,15.0
11.2,17.9,17.5,15.1,29.2,12.7,19.3,331.0,18.8,24.8,10.9
72.3,27.1,18.4,37.2,25.7,7.3,23.3,1075.0,7.04,21.3,35.5
12.7,12.9,30.5,32.8,19.6,3.37,14.1,385.0,31.9,59.4,28.1
49.6,17.9,7.5,11.1,3.02,67.3,129.0,737.0,17.0,31.6,7.77
62.6,22.7,13.1,125.0,10.3,5.73,22.5,418.0,17.3,32.5,12.4
10.8,5.33,23.9,49.1,12.9,11.0,22.9,483.0,2.35,21.1,85.8
74.3,26.4,13.5,36.5,50.0,4.26,17.2,70.4,3.0,14.7,92.2
73.0,21.7,6.79,213.0,23.5,16.5,19.1,429.0,1.67,44.9,3.0
10.9,6.38,16.7,145.0,33.4,8.58,11.0,305.0,1.6,13.8,62.6
55.2,18.9,11.0,123.0,11.9,11.5,23.9,422.0,11.2,25.3,14.2
56.7,13.9,18.4,13.5,15.5,5.67,30.2,538.0,17.9,39.6,14.6
97.3,61.5,11.8,165.0,34.6,24.6,31.9,433.0,19.5,35.2,21.5
58.3,34.0,19.8,164.0,35.9,20.5,33.4,313.0,14.1,32.2,13.9
112.0,46.1,10.8,133.0,9.22,4.1,10.8,552.0,26.9,53.8,25.9
16.0,15.0,17.9,153.0,35.2,12.9,35.5,457.0,11.2,25.7,1.19
67.3,31.6,26.7,13.5,17.2,31.1,50.5,294.0,16.1,35.9,1.0
39.2,15.8,16.5,22.9,17.3,11.0,28.9,311.0,3.75,7.91,8.35
68.5,24.4,20.7,63.8,26.2,27.1,33.1,392.0,2.97,13.6,57.8
13.1,11.2,42.2,154.0,64.4,21.1,34.9,239.0,5.38,17.2,73.7
99.1,50.5,14.6,76.4,30.0,3.92,12.0,343.0,13.6,29.4,12.0
53.3,18.6,22.7,55.7,21.1,17.6,17.2,449.0,29.2,44.1,21.9
55.2,25.0,31.3,98.2,35.2,3.0,6.04,27.6,5.57,18.1,7.43
74.3,34.6,13.9,17.2,10.8,9.31,32.5,1286.0,36.5,73.0,33.7
117.0,49.1,1.0,396.0,33.1,12.2,27.9,547.0,2.39,22.1,98.2
44.5,26.4,13.2,69.8,13.0,15.8,19.3,231.0,35.5,54.7,27.4
87.4,54.7,20.5,176.0,33.7,10.3,22.3,426.0,27.1,27.4,1.73
32.2,14.9,13.7,12.9,15.5,9.06,21.5,528.0,9.91,23.3,95.6
37.2,14.5,26.9,17.3,13.2,24.1,31.6,300.0,12.2,34.3,18.4
29.4,20.4,35.2,33.1,38.9,26.7,47.0,340.0,32.8,53.8,19.1
48.3,7.43,15.5,110.0,48.7,3.79,17.0,483.0,7.04,31.3,92.2
32.8,23.9,23.7,18.8,5.83,33.4,55.2,806.0,15.3,37.2,21.5
26.4,17.0,51.9,47.8,8.2,22.9,37.9,257.0,50.9,71.7,27.9
69.8,34.0,24.1,71.7,17.6,13.2,24.6,264.0,18.1,41.4,23.5
45.7,18.3,8.66,18.4,64.4,10.6,14.9,429.0,16.1,25.9,10.5
131.0,37.2,19.1,97.3,30.2,24.1,29.4,313.0,16.0,19.1,18.4
106.0,38.2,9.14,24.1,32.2,18.3,30.5,685.0,12.1,28.1,19.6
68.5,28.1,16.4,145.0,16.5,10.7,23.7,573.0,4.18,30.8,59.9
59.4,26.7,10.1,83.5,1.64,6.79,21.5,346.0,4.18,23.3,33.7
47.0,17.0,42.2,71.0,44.5,10.8,57.3,538.0,26.9,50.0,15.3
28.4,12.6,21.1,31.3,45.3,36.2,60.4,835.0,4.18,15.8,90.6
35.2,19.1,28.6,66.1,60.4,2.71,21.1,599.0,3.19,14.3,90.6
63.2,18.9,20.5,15.4,9.31,21.1,113.0,1104.0,23.7,56.2,13.3
62.6,21.1,6.04,209.0,24.8,5.05,18.4,583.0,2.79,12.4,8.28
14.2,11.7,24.8,38.9,63.2,6.1,14.2,355.0,10.7,30.2,10.6
68.5,27.6,17.5,82.0,18.6,6.85,24.1,359.0,1.1,61.5,14.1
41.8,11.1,14.9,18.6,66.7,6.79,34.0,698.0,13.3,22.3,11.1
44.9,21.7,15.0,48.7,42.9,2.59,20.9,414.0,13.9,27.4,9.91
117.0,59.4,10.8,284.0,23.1,21.1,30.5,305.0,7.1,21.1,32.5
45.3,32.8,26.9,137.0,37.5,3.08,11.5,649.0,2.33,31.6,57.3
41.8,12.0,11.1,28.9,35.9,6.26,22.9,24.4,2.79,15.4,83.5
44.1,33.4,15.7,21.3,15.5,7.77,19.1,441.0,2.35,17.5,82.8
15.3,14.9,18.9,17.8,14.1,21.9,23.7,294.0,8.28,17.9,10.7
85.8,31.3,9.65,73.7,10.8,5.94,17.9,441.0,22.3,46.6,32.8
32.5,27.1,22.7,22.5,22.5,21.9,33.1,509.0,21.1,33.7,9.22
54.7,19.3,36.2,50.0,28.4,12.1,28.9,294.0,16.1,27.6,15.0
40.0,23.7,14.3,19.8,13.7,1.73,5.67,16.8,23.5,42.6,11.5
36.5,16.5,15.5,32.2,9.47,3.34,5.42,257.0,26.9,47.0,66.1
81.3,61.5,20.4,25.9,13.7,40.7,50.0,422.0,11.2,28.4,14.5
13.5,30.0,24.8,255.0,61.5,29.7,44.5,231.0,19.3,35.2,15.1
17.5,29.4,27.4,22.9,24.1,22.5,29.2,422.0,26.9,44.1,4.26
38.2,25.9,45.7,39.6,13.1,20.2,42.6,362.0,3.43,13.0,52.8
104.0,26.2,11.4,11.9,22.1,9.56,15.0,349.0,1.36,31.9,1.0
37.2,12.1,31.3,21.9,10.0,12.0,22.3,372.0,3.34,10.4,75.7
52.3,41.0,25.0,53.8,19.3,9.91,20.0,610.0,1.0,52.8,8.9
80.6,25.5,11.8,96.5,9.65,2.76,18.6,13.3,20.2,40.0,17.0
33.4,4.45,17.2,30.0,28.6,28.9,55.7,429.0,27.9,37.5,12.5
73.7,25.3,15.4,120.0,12.6,4.78,18.8,445.0,4.74,15.3,114.0
37.5,21.9,7.37,23.3,57.8,8.9,14.3,375.0,18.4,46.1,35.2
47.4,14.1,9.31,20.4,26.2,6.26,8.28,385.0,14.3,25.3,14.9
86.6,49.1,17.9,4.91,15.3,10.8,17.0,284.0,21.3,37.2,11.2
120.0,45.3,18.6,113.0,25.5,16.5,38.2,1114.0,16.0,31.3,6.55
51.4,37.9,20.0,19.3,25.7,10.5,44.5,764.0,17.5,36.8,14.3
27.6,26.2,18.3,64.9,44.1,21.5,30.8,1155.0,18.1,31.1,8.98
42.2,16.8,16.5,163.0,8.74,12.7,30.5,441.0,9.91,17.6,17.6
32.2,28.4,39.6,25.5,11.5,14.7,24.6,319.0,24.6,44.1,19.8
38.2,24.1,28.1,22.1,30.0,25.5,47.8,1186.0,25.3,53.8,39.2
55.7,26.9,28.6,9.47,50.0,25.0,43.3,437.0,3.85,19.6,38.2
47.4,25.5,15.5,35.5,3.65,14.9,18.4,737.0,4.87,15.4,76.4
40.7,17.2,15.1,15.5,3.62,11.7,21.1,514.0,24.4,50.0,119.0
10.6,14.1,28.4,17.9,12.4,17.6,25.7,365.0,4.57,12.5,40.3
92.2,30.2,16.7,77.0,55.7,7.91,26.9,562.0,2.69,13.3,61.5
33.4,12.7,21.5,48.3,22.9,22.1,29.7,276.0,3.46,11.3,24.4
25.7,7.84,41.4,29.4,25.5,17.6,28.6,331.0,14.5,27.6,13.8
