HISTORY,CVP,PCWP,HYPOVOLEMIA,LVEDVOLUME,LVFAILURE,STROKEVOLUME,ERRLOWOUTPUT,HRBP,HREKG,ERRCAUTER,HRSAT,INSUFFANESTH,ANAPHYLAXIS,TPR,EXPCO2,KINKEDTUBE,MINVOL,FIO2,PVSAT,SAO2,PAP,PULMEMBOLUS,SHUNT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR,CO,BP
0.003318,0.968087,0.953508,-0.09435,0.977855,-0.093872,1.043506,-0.011965,1.915896,0.966324,0.037748,1.970256,-0.014061,-0.018459,-0.006414,0.915012,-0.002273,1.472095,1.147689,1.98935,0.977219,0.049424,-0.007802,1.012667,0.956294,1.577761,-0.031384,1.018768,0.556618,0.984775,-7e-06,1.529326,2.034134,-0.054505,1.009074,0.952732,1.962731
-0.03242,2.060799,2.079829,1.130273,1.997172,-0.04207,-0.048474,0.080374,0.923081,0.984152,-0.028303,1.0875,-0.050667,0.055083,0.065668,1.491661,0.023275,0.423064,0.99559,0.989249,0.871021,1.020769,0.017758,0.915331,-0.070614,-0.037464,-0.026459,0.984682,-0.047906,1.449607,1.015326,0.476238,-0.00534,-0.011484,1.02286,0.992286,0.043077
0.00515,1.044452,1.062354,-0.073024,1.0461,0.089141,0.951374,-0.001594,-0.01786,2.022042,1.026,-0.033465,0.065628,-0.042834,-0.006916,1.05118,0.097672,-0.025633,1.039115,1.011002,-0.079122,0.952241,-0.060239,-0.025166,-0.020839,0.001397,0.063885,1.021124,1.632653,-0.012171,0.039463,1.520721,1.075328,-0.018936,1.042263,1.081454,-0.036041
-0.003744,2.025215,1.978261,0.956238,2.091637,-0.011483,1.086705,-0.025421,1.989646,2.039857,-0.010301,1.955057,-0.035996,0.013634,1.966694,0.504403,-0.112864,-0.027906,0.990984,1.974368,-0.049679,0.955825,0.003526,0.074353,1.930079,0.486187,0.048852,1.016723,1.495312,1.477464,1.500663,0.994947,1.890677,-0.035789,1.902521,1.064553,2.041132
-0.039412,1.040244,1.122432,-0.031154,1.064964,0.018125,0.988165,-0.055296,1.972204,-0.019746,-0.115789,2.026523,-0.016087,0.022962,1.979039,1.149914,-0.082864,0.953347,1.03526,0.117923,0.950379,1.091461,-0.045851,1.064668,0.00377,1.1115,0.089099,0.967614,1.146785,0.443792,0.984319,1.590395,-0.036739,-0.032068,2.006532,1.022624,1.019359
-0.037285,1.009845,1.031871,0.0752,1.016408,-0.062649,1.001421,-0.03103,2.065952,-0.083771,0.027987,-0.05327,0.063603,0.038558,0.010967,0.525247,-0.016844,0.533789,0.997519,2.03656,0.002929,0.87594,-0.025683,1.075875,0.072627,1.505227,-0.006302,0.983238,0.031528,1.028952,0.451045,0.533083,0.061645,-0.047743,0.990658,1.023178,2.036138
-0.021027,1.973566,1.976806,1.019262,2.021456,-0.000971,0.931789,0.945501,0.031841,1.938946,0.011318,0.98196,-0.030111,0.001335,2.083818,0.014441,-0.014783,-0.073669,1.025612,1.056835,1.030369,1.058298,0.02383,0.934836,-0.002247,1.026243,0.036051,0.975346,-0.003168,1.018293,1.563565,0.550262,2.032316,1.019811,1.948736,1.944952,1.995407
0.052079,1.019768,1.028055,-0.075078,0.926917,0.055994,0.998268,-0.065684,1.044108,1.012902,0.147573,0.0625,0.017335,-0.007555,2.011615,0.994867,-0.07194,0.546376,1.013743,-0.137735,-0.031776,0.958563,0.049045,-0.002203,0.07437,0.920424,-0.053789,1.053355,0.967239,0.947068,1.473666,0.962009,0.026966,1.055908,1.920654,-0.014539,2.000712
0.00411,1.041663,1.005992,-0.02899,0.944405,-0.091235,1.981444,0.00072,0.046086,-0.018888,0.116185,-0.003824,-0.024167,0.01903,0.951472,1.010445,-0.103205,0.533805,1.003334,2.010529,2.00774,1.936312,-0.044931,0.078321,0.02473,0.470137,0.021054,1.020386,0.097724,0.555518,0.020558,1.477541,2.089184,-0.005077,0.956474,1.938988,1.95688
-0.018204,1.03827,1.045659,0.057553,1.007649,0.041575,1.112966,0.045514,2.080144,1.924468,-0.03709,0.962444,-0.133852,0.003684,2.069622,0.473234,0.009772,-0.042703,0.975414,0.014265,1.940211,1.058702,-0.095938,1.016112,-0.024574,1.074457,0.038092,0.895792,1.37888,1.449932,-0.025111,0.99055,1.001512,0.03368,0.9317,0.909973,2.012623
-0.018049,-0.005169,-0.032091,-0.00866,1.074325,-0.081164,0.938723,0.03208,0.07837,-0.010282,-0.063136,-0.100056,0.013027,-0.062468,1.108779,0.11708,0.011315,0.024273,0.994104,0.05709,1.999846,1.003168,0.06802,0.031309,0.106549,-0.081841,-0.027779,0.954805,1.542089,0.47532,1.530117,-0.058449,-0.004717,1.11485,2.081918,0.906073,1.018229
0.041318,0.97533,0.944881,0.033099,1.005041,0.027627,0.992097,0.116558,1.954308,1.9752,0.025744,2.036587,0.931064,0.064866,0.927094,1.50032,-0.015351,1.464619,1.056663,1.882647,0.963461,0.954862,0.043745,1.077521,0.038773,1.569764,-0.111228,1.00818,1.430848,0.481252,1.512234,0.004731,1.068788,0.901068,1.958213,1.925969,0.91806
0.050289,1.009121,1.077831,0.05926,1.003408,-0.048481,1.04959,-0.03458,-0.059971,-0.057521,0.006093,0.063276,0.00263,0.061221,0.004567,0.978678,0.136059,0.091052,1.009845,0.95839,-0.080451,1.020068,-0.012776,0.02335,2.016152,1.521814,0.057111,1.015711,-0.036172,0.461473,0.529156,1.446409,0.035917,0.03571,0.997806,0.960929,0.911183
-0.056198,0.918704,1.001334,-0.022114,0.953967,0.04363,1.006466,0.002379,1.027906,2.051823,-0.080141,0.035334,-0.090447,-0.039719,2.050607,0.534561,0.033237,1.009104,1.070649,0.92296,1.984742,1.002367,0.101764,1.051327,0.051921,0.961933,0.112483,1.02359,0.949704,1.617268,0.428655,0.956565,-0.0117,-0.049021,1.026361,1.013838,2.005675
0.09469,0.918302,0.068319,-0.041233,1.073108,0.095261,1.115078,-0.009526,-0.058163,2.016396,-0.002668,1.911858,0.036777,-0.046134,0.0721,1.548258,-0.014067,1.501808,0.987872,1.97713,0.154916,0.95319,0.002767,1.049574,-0.019217,0.968573,-0.066455,1.059602,1.0356,0.023497,1.42456,0.025179,0.014265,-0.016903,0.931163,0.997166,0.956458
0.004002,2.003167,0.983092,0.044101,0.996697,0.026454,1.02092,0.050409,1.951797,1.982735,1.0461,2.007677,0.05629,0.037262,0.977766,1.544026,-0.012874,0.04783,1.092688,1.05458,1.114475,0.922421,-0.027419,-0.013317,-0.020015,0.018622,-0.018405,1.055305,0.049238,0.520674,-0.050611,0.527369,0.033715,0.017694,1.0015,1.070017,0.972581
-0.018335,1.033353,1.02654,0.04263,0.985799,-0.065735,0.938121,-0.021634,0.039621,1.039613,-0.090796,2.026695,-0.004361,-0.052105,0.109539,1.013198,0.041371,1.628376,0.970944,1.98016,0.074451,0.934616,0.003698,1.002311,0.048509,0.02027,-0.045659,0.048612,0.542257,0.94745,0.46561,-0.02629,1.942533,0.053233,0.983808,0.986108,0.948112
-0.019727,1.074248,1.037414,-0.08087,0.950515,0.03178,0.975094,-0.027662,0.956975,1.933447,0.004764,0.980986,0.057019,-0.003335,1.951741,0.53469,0.067307,1.463213,0.914871,-0.023948,0.932505,1.082081,-0.069387,-0.016385,0.073676,0.043561,-0.025683,0.960847,1.490925,-0.012008,1.07482,-0.007733,-0.067498,0.049289,1.051827,0.98866,2.038606
0.002562,0.93966,0.995946,-0.057234,0.968292,-0.046945,1.016642,0.009324,0.934016,0.954007,-0.000135,2.023218,0.003612,-0.11034,0.064345,0.588616,0.07919,0.527205,1.033599,-0.03271,0.009429,0.943469,0.006088,0.928515,0.02926,1.482272,0.038353,1.009129,0.977022,1.042166,1.44133,0.486757,0.973123,0.037199,0.996224,1.013501,0.026274
-0.117306,0.953684,1.005796,0.050624,1.028629,0.065538,0.988919,0.005034,0.97501,0.978216,-0.041522,1.972836,-0.009523,-0.032578,2.001329,-0.090932,0.021397,0.008873,1.022311,0.976825,1.974589,1.049118,-0.007725,1.099327,1.929694,0.987632,-0.056369,0.960663,0.4605,0.475963,1.539142,0.442805,1.030501,-0.072044,0.979724,1.06599,1.023102
0.013614,1.031505,1.028799,0.0314,1.070183,-0.051923,0.996463,0.031863,0.037482,2.027903,1.065327,0.97495,-0.067486,0.063619,1.99996,0.972566,0.001788,1.478386,1.05031,0.044508,2.015587,1.027043,0.00163,1.051325,-0.118166,1.44159,-0.001997,0.979326,0.452474,1.030998,1.451081,0.010868,0.006214,0.002885,0.958541,0.990342,2.061347
0.027176,1.048142,0.995996,-0.085114,0.976677,-0.007534,1.065075,0.056798,2.021242,0.957174,0.006422,1.986913,-0.012175,-0.061676,2.023195,0.498508,0.040219,0.926919,0.943651,0.182314,-0.044003,1.014379,0.021888,0.950891,0.08638,1.496719,0.007474,1.090919,1.460449,0.475618,-0.017276,0.431368,2.013792,0.023653,0.009166,2.032792,1.043283
0.016935,0.987928,1.061021,-0.034833,1.069818,-0.009648,1.03824,0.091328,1.88676,1.990387,-0.020197,2.085369,-0.020341,0.136451,-0.076395,1.517475,-0.019315,1.525255,0.971743,0.977448,-0.091141,1.005409,0.925104,0.934517,0.004344,-0.006067,0.051354,0.932344,1.021051,0.516125,1.484881,-0.040182,0.996045,0.044199,0.981312,1.042365,-0.01369
0.08624,2.00134,1.991223,0.919459,1.928642,0.019065,-0.011372,0.014064,-0.034232,1.992478,-0.031185,1.01476,-0.010908,0.093233,0.965596,1.55594,-0.052725,1.476733,0.957923,1.062982,0.021849,1.006859,0.011723,-0.054218,0.070146,0.569476,-0.001715,1.000663,0.032457,0.991237,1.489991,1.47536,1.982705,-0.023803,0.036493,-0.016415,1.978582
